Title | Year | RQ1_Datasets | RQ1_Image_Count | RQ1_Class_Balance | RQ2_Preprocessing | RQ2_Augmentation | RQ3_RQ4_Seg_Scope | RQ5_RQ6_Class_Scope | RQ7_Model_Architecture | RQ7_Novelty | RQ7_Transfer_Learning | RQ8_Metrics_Used | RQ8_Best_Result | RQ8_SOTA_Compare | RQ9_Limitations | RQ10_Future_Work
A novel CNN-ViT-based deep learning model for early skin cancer diagnosis | 2025 | ISIC 2019, HAM10000 | 35,346 (ISIC 2019: 25,331; HAM10000: 10,015) | No (Imbalanced) | Normalization (ImageNet-based) | Scaling, Smoothing, Mix-up, Color Jitter, Flipping | N/A | Multi-class (ISIC 2019: MEL, NV, BCC, AK, BKL, DF, VASC, SCC; HAM10000: 7 classes) | Proposed MetaFormer (Scaled CAFormer-S24 + Focal Self-Attention) | New Architecture (Hybrid CNN-ViT with Focal Self-Attention) | Yes [ImageNet] | Accuracy, Precision, Recall, F1-score | ACC: 95.01% (HAM10000), 92.54% (ISIC 2019) | Yes | Lower performance in minority classes (e.g., AK, SCC) due to imbalance; diminishing returns with excessive scaling | Integrate multimodal data; extend to other dermatological conditions; validate in real-world clinical environments | 10
A novel end-to-end deep convolutional neural network based skin lesion classification framework | 2024 | HAM10000  | 10,000  | Yes (Equal sampling via random image generator)  | Grayscale conversion, Resizing (224x224), Modified Gaussian Filtering (Segmentation), Modified SFTA (Feature Extraction)  | None reported (Dropout used for ensemble effect)  | Lesion Boundary  | Multi-class (Melanocytic nevi, Melanoma, Benign keratosis-like lesions, Basal cell carcinoma, Actinic keratoses, Vascular lesions, Dermatofibroma)  | S-MobileNet (Modified MobileNet with Mish activation and L1-norm pruning)  | New Architecture (Modified MobileNet)  | No  | Accuracy, Precision, F1-score, Loss  | ACC: 98.345%  | Yes  | Difficulty comparing latency due to hardware differences; potential for over-segmentation  | Validate on other datasets (ISBI 2016, PH2, PAD-UFES-20); real-time application  | 10
A novel hybrid ConvNeXt-based approach for enhanced skin lesion classification | 2025 | HAM10000, ISIC 2019 | 35,346 (HAM10000: 10,015; ISIC 2019: 25,331) | No (Imbalanced) | Resizing (224x224), Normalization | Scaling, Rotation, Flipping, Color alterations, Translation, Noise addition, RandAugment, MixUp, CutMix, Random Erasing | N/A | Multi-class (HAM10000: AK, BCC, BKL, DF, MEL, NV, VASC; ISIC 2019: Adds SCC) | Hybrid ConvNeXt-CAFormer (MetaFormer-based) | New Architecture (ConvNeXt + CAFormer) | Yes [ImageNet] | Accuracy, Precision, Recall, F1-score, Cohen's Kappa, Balanced Accuracy | ACC: 94.30% (HAM10000), 92.50% (ISIC 2019) | Yes | Generalizability limited by dataset diversity (skin types/biases); higher computational cost than simple CNNs | Validate on larger/diverse datasets; apply SMOTE for imbalance; explore meta-learning and semi-supervised learning; optimize for mobile devices | 10
A novel melanoma prediction model for imbalanced data using optimized SqueezeNet by bald eagle search optimization | 2021 | ISIC 2020, ISIC 2019 | 33,126 (ISIC 2020), 25,331 (ISIC 2019) | No (Imbalanced); Balanced via Random Over-Sampling (ROS) | Resizing (227x227), Random Over-Sampling (ROS) | Random Translation, Scale, Rotation, Reflection, Shear | N/A | Binary (Melanoma vs. Normal), Multi-class (ISIC 2019: 8 classes) | SqueezeNet (Optimized by Bald Eagle Search) | Optimization of Standard Architecture (BES-SqueezeNet) | Yes (Pre-trained SqueezeNet) | Accuracy, Specificity, Sensitivity, F-score, AUC | ACC: 98.37%, F-Score: 98.40%, AUC: 0.99 (ISIC 2020) | Yes | Lack of ground truth for ISIC 2020 test set; training time increases exponentially with epochs | Extend to classify specific melanoma subtypes; apply to other domains (e.g., agriculture); explore recent swarm algorithms | 9
A Novel Vision Transformer Model for Skin Cancer Classification | 2023 | HAM10000, Edinburgh DERMOFIT | 10,015 (HAM10000); 1,300 (DERMOFIT) | No (Imbalanced); Balanced via Random Oversampling and Undersampling | Resizing (384x384), Normalization (0-1), Patch Extraction | Rotation, Width/Height Shift, Zoom, Flip, Random Saturation, Contrast, Brightness | N/A | Multi-class (7 classes: AKIEC, BCC, BKL, DF, MEL, NV, VASC; 10 classes for DERMOFIT) | ViTfSCD (Based on ViT-Base/Large with modified classification head) | New Architecture (ViTfSCD with Batch Norm in head) | Yes [ImageNet] | Accuracy, Precision, Sensitivity, Specificity, F1-score | ACC: 94.1% (ViTfSCD-Large on HAM10000) | Yes | High computational cost/parameters; Data hungry (needs large pretraining); Poor generalization to mobile/noisy images | Scale up model size; Pretrain on larger datasets (e.g., JFT-300M) | 10
A review on recent developments in cancer detection using Machine Learning and Deep Learning models  | 2023  | PH2, ISIC (2016, 2017, 2018), HAM10000, DermIS, DermQuest  | Varies significantly by reviewed study (e.g., 200 to 25,000)  | No (Imbalanced)  | Resizing, Gaussian Filtering, Morphological Operations, Normalization, Image Enhancement (MGI)  | Data Augmentation (General), Binary Image Resizing  | Both (Lesion Boundary via Otsu/Superpixels; Attributes via ABCD)  | Both (Binary: Benign/Malignant; Multi-class: 6 types incl. BCC, SCC, Melanoma)  | CNN, ResNet50, InceptionV3, InceptionResNet50, MobileNetV2, SNN, SVM, ANN, Ensemble  | Systematic Review of existing methods  | Yes [ResNet50, InceptionV3, InceptionResNet50]  | Accuracy, Specificity, Sensitivity, Precision, Recall, F1-score, AUC  | ACC: 97.7% (ANN on ISIC + PH2)  | Yes  | Unbalanced datasets; Noise (lighting/distance); Misdiagnosis in dark skin and rare diseases; High computational cost  | Develop algorithms for rare skin diseases; Address bias in dark skin diagnosis; Publish larger public datasets; Explore hybrid models  | 8
A scoping review of transfer learning research on medical image analysis using ImageNet | 2021 | Various (Review of 102 studies; 7% Skin Lesion) | Varies (<1k to >10k) | N/A (Review) | None reported (Focus on Augmentation) | Rotation, Translation, Scaling, Flipping | N/A (Focus on Classification) | Both (Binary: 71%, Categorical: 25%) | VGGNet (Most common for Skin: 50%), Inception, ResNet, AlexNet | Review of Transfer Learning Methods | Yes [ImageNet] | Accuracy | N/A (Aggregated review) | Yes | Lack of systematic benchmarking; majority of studies did not use visualization; lack of reporting on dataset sizes | Find optimal dataset size thresholds; explore GANs for augmentation; apply visualization for interpretability; systematic benchmarking | 7
A survey on cancer detection via convolutional neural networks: Current challenges and future directions | 2024 | ISIC (2016, 2017, 2018, 2019, 2020), PH2, HAM10000, DermIS, DermQuest, MED-NODE | Varies (e.g., HAM10000: 10,015; ISIC Combined: 36,502; ISBI 2016: 1,279) | No (Imbalanced) | Resizing, Normalization, Noise Reduction, Image Enhancement | Cropping, Shearing, Rotation, Mirroring, Skewing, Flip, Scaling, Adding Noise, GANs | Lesion Boundary | Both (Binary: Benign vs Malignant; Multi-class: Melanoma vs others) | ResNet, VGG, AlexNet, Xception, InceptionV3, MobileNet, DenseNet, EfficientNet, U-Net | Survey of Standard, Customized, and Ensemble architectures | Yes [ImageNet] | Accuracy, Precision, Recall, Specificity, F1-score, AUC, Dice, Jaccard | ACC: 99.33% (EfficientNet on ISIC combined) | Yes | Lack of large datasets; Data imbalance; Annotation difficulties; Black-box nature (explainability); High computational cost | Explainable AI (XAI); Lightweight CNNs; Vision Transformers (ViT); Semi-supervised learning; Multi-modal data integration | 10
A survey on deep learning for skin lesion segmentation | 2023 | ISIC (2016-2020), PH2, DermoFit, HAM10000, DermQuest, MED-NODE  | Varies (e.g., HAM10000: 10,015; ISIC 2020: 33,126; PH2: 200)  | No (Imbalanced); Balanced via Weighted Loss, Focal/Tversky Loss, GANs  | Downsampling, Color space transformations (HSV, CIELAB), Contrast enhancement, Color normalization, Artifact removal (Hair)  | Geometric (Flip, Rotate, Scale), Photometric, Elastic deformation, GAN-based synthesis  | Both (Primary: Lesion Boundary; Secondary: Attributes/Multi-class)  | Both (Multi-task models: Melanoma vs. Non-Melanoma; 7-point classes)  | FCN, U-Net (and variants: R2U-Net, Attention U-Net), DeepLab, GANs, Transformers (TransUNet, Swin-Unet)  | Survey of Standard and Novel Architectures  | Yes [ImageNet] (Pre-trained backbones in surveyed works)  | Jaccard, Dice, Cross-Entropy, Accuracy, Sensitivity, Specificity, MCC  | Jaccard: 97.4% (Basak et al. on HAM10000)  | Yes  | Small/Imbalanced datasets; Annotation variability/noise; Generalization to diverse skin tones/mobile; Reproducibility (code scarcity)  | Lightweight models for mobile; Diverse skin tone datasets; Weakly/Unsupervised learning; Multi-class attribute segmentation  | 10
A survey on U-shaped networks in medical image segmentations | 2020 | ISIC 2017, ISIC 2018, PH2 (implied by references) | 2,600 (ISIC 2017: 2000 Train/600 Test); 3,594 (ISIC 2018: 2594 Train/1000 Test) | N/A (Survey) | Image pre-processing (General mention) | Data Augmentation (General mention) | Lesion Boundary | N/A (Focus on Segmentation) | U-Net, R2U-Net, MultiResUNet, Attention U-Net, DenseUNet, Dilated U-Net | Survey of U-Net variants | Yes (Implied in surveyed works) | Dice, IOU | N/A (Qualitative: "Impressive achievement" for R2U-Net; "Remarkable performance" for MultiResUNet) | Yes | Lack of interpretability ("Black box"); Generalization issues across tasks; Limited sample sizes | Improve interpretability; Develop hybrid architectures (multi-scale, multi-modality); Use 3D images; Explore data augmentation | 10
A survey, review, and future trends of skin lesion segmentation and classification | 2023 | ISIC (2016-2020), PH2, IAD, IRMA, Dermaquest  | Varies (e.g., ISIC-20: 33,126; PH2: 200)  | No (Imbalanced); Balanced via Class weighting, Augmentation, SMOTE, Undersampling  | Hair removal, Normalization, Standardization, Median/Mean/Gaussian filtering, Color space transformation, Contrast enhancement, CLAHE, Inpainting  | Rotation, Flipping, Scaling, Cropping, Shifting, Shearing, Color jittering, Elastic distortion, GANs, Gaussian noise  | Both (Lesion Boundary; Attributes mentioned)  | Both (Binary: Nev vs Mel; Multi-class: 7-8 classes)  | Survey of CNNs (ResNet, VGG, DenseNet, EfficientNet, MobileNet, Inception), U-Net, Transformers  | Survey  | Yes [ImageNet, PASCAL-VOC, MS-COCO]  | Accuracy, Sensitivity, Specificity, Precision, F1-score, Dice (DSC), Jaccard (IoU), AUC, MCC, Hausdorff Distance  | N/A (Review) | Yes | Small/Imbalanced datasets; Lack of ground truth; "Black box" interpretability; Lack of real-time clinical applications  | Develop larger diverse datasets; Focus on real-time clinical applications; Improve Explainable AI (XAI) and Trustworthiness; Crowdsource annotations  | 10
A systematic review and meta-analysis of artificial intelligence versus clinicians for skin cancer diagnosis | 2024 | Various (Review of 53 studies; e.g., ISIC, HAM10000, MED-NODE, PH2) | N/A (Meta-analysis of 19 studies) | N/A (Review) | N/A (Review) | N/A (Review) | N/A (Focus on Classification) | Both (Binary: Benign/Malignant; Multi-class: Specific diagnoses) | Review of CNNs (ResNet, Inception, EfficientNet, VGG, MobileNet, GoogleNet) | Systematic Review & Meta-analysis | Yes (Implied in reviewed works) | Sensitivity, Specificity, ROC/AUC, Likelihood Ratio | AI Overall: Sn 87.0%, Sp 77.1% (Superior to Generalists; Comparable to Experts) | Yes (AI vs. Clinicians) | Reliance on retrospective studies; lack of dataset diversity (skin types) and metadata; potential dataset overlap; lack of real-world validation | Focus on prospective randomized clinical trials; develop AI-assisted workflows (augmented intelligence); standardization of reporting guidelines (CLEAR derm) | 10
An approach for multiclass skin lesion classification based on ensemble learning | 2021 | HAM10000, ISIC 2019 | 18,730 | No (Imbalanced); Balanced via Cost-Sensitive Learning (Class Weights) | Hair removal (BlackHat filtering, Inpainting), Median filtering, Resizing (224x224) | Rotation, Flipping, Shearing, Zooming | N/A | Multi-class (AKIEC, BCC, BKL, DF, MEL, NV, VASC) | ResNeXt101, SeResNeXt101, ResNet152V2, DenseNet201, Xception | Ensemble (Weighted Average) | Yes [ImageNet] | Recall (Macro-average), Precision, F1 score, MCC, Accuracy, ROC-AUC | Recall: 94%, ACC: 88% (Weighted Ensemble) | Yes | Insufficient data; similarity in base model architectures (ResNet family) reduced ensemble diversity; lack of attention mechanisms | Use advanced augmentation (GANs, Neural Style Transfer); Attention mechanisms; incorporate more diverse model architectures | 10
An Efficient Deep Learning-Based Skin Cancer Classifier for an Imbalanced Dataset | 2022  | HAM10000  | 10,015 (Original); >30,000 (Augmented)  | No (Imbalanced); Balanced via Data Augmentation  | Normalization, Resizing, Rescaling (1/255)  | Rotation, Translation, Rescaling, Flipping, Shearing, Stretching  | N/A | Multi-class (AKIEC, BCC, BKL, DF, MEL, NV, VASC)  | RegNetY-320, Inception V3, AlexNet  | Application of RegNetY-320; Augmentation Framework  | Yes (Fine-tuning implied)  | Accuracy, F1-score, ROC curve  | ACC: 91%, F1: 88.1%, ROC: 0.95 (RegNetY-320 on balanced data)  | Yes  | Generalizability unknown (only tested on HAM10000); potential bias from dataset  | Test on larger training sets and other datasets; compare performance with dermatologists  | 9
An efficient image segmentation method for skin cancer imaging using improved golden jackal optimization algorithm | 2022 | ISIC (Subset) | 10 (Randomly selected for testing) | N/A (Segmentation task) | None reported | None reported | Lesion Boundary (Multilevel Thresholding) | N/A | IGJO (Improved Golden Jackal Optimization) based on Otsu's method (Meta-heuristic, not Deep Learning) | Optimization of GJO using Opposition-Based Learning (OBL) | No | PSNR, SSIM, FSIM, MSE | PSNR: ~28.3 dB (Test 10, Level 5); IGJO outperformed competitors | Yes (WOA, SOA, SSA, HHO, GTO, MPA, GJO) | Small dataset size (10 images); limited to thresholding segmentation | Expand dataset; combine with Machine Learning/Deep Learning; apply to multi-objective problems | 5
An Enhanced Transfer Learning Based Classification for Diagnosis of Skin Cancer | 2022 | Kaggle | 3,297 | No (Imbalanced); Augmented (Training set doubled) | None reported | Rotation (90°), Flipping (Horizontal/Vertical), Brightness adjustment | N/A | Binary (Benign vs Malignant) | VGG16 (Modified with LeakyReLU/Sigmoid dense layers) | Fine-tuning / Modified Architecture | Yes [ImageNet] | Accuracy, Precision, Sensitivity, F1 Score | ACC: 89.09% | Yes | Scope for improving overall accuracy and balancing True Positives/True Negatives | Build more suitable models; enhance TP/TN rates simultaneously | 8
An improved transformer network for skin cancer classification | 2022 | HAM10000, Private Clinical Dataset | 11,031 (HAM10000: 10,015; Private: 1,016) | No (Imbalanced); Balanced via Label Shuffling | Normalization (Z-score) | Horizontal/Vertical flip, Random crop, Random rotation, Color jitter | N/A | Multi-class (HAM10000: 7 classes; Private: BCC, SCC, MM) | SkinTrans (Improved Vision Transformer with Multi-scale sliding windows) | New Architecture (SkinTrans with Contrastive Learning) | Yes (Pre-trained on HAM10000) | Accuracy, Precision, Recall, F1-score, AUC | ACC: 94.3%, AUC: 0.987 (HAM10000) | Yes | Slow processing speed for high-resolution images; limited clinical trial validation | Optimize processing speed for large images; develop unified multimodal model; collect more clinical data | 10
Analysis of the ISIC image datasets: Usage, benchmarks and recommendations | 2022 | ISIC 2017, ISIC 2018, ISIC 2019, ISIC 2020 | 93,083 (Total Raw); 56,987 (Curated) | No (Imbalanced); Balanced via Undersampling | Duplicate Removal, Resizing (224x224), Center-cropping | Rotation, Zoom, Width/Height Shift, Shearing, Horizontal/Vertical Flip | N/A | Both (Binary: Melanoma vs. Non-Melanoma; Multi-class: 7 classes) | DenseNet (121, 169, 201), EfficientNet (B0-B4), InceptionResNetV2, InceptionV3, ResNet (50, 101, 152, V2), VGG (16, 19), Xception | Benchmark / Analysis | No (Explicitly stated for baseline experiments) | AUC, Accuracy, Precision, Recall, F1-score | AUC: 0.80 (VGG19 on ISIC 2020) | Yes | Class imbalance in test sets; Lack of ground truth for ISIC 2020 test set; Dataset noise (hair, rulers, markers) affects accuracy; Small dataset size after balancing | Use ensemble networks for noise; Compare balancing techniques (augmentation vs undersampling); Investigate feature extraction and color spaces | 10
Artificial intelligence and machine learning algorithms for early detection of skin cancer in community and primary care settings: a systematic review | 2022 | ISIC, Derm-IS, Derm-Quest, PH2, Derm-Net, Derm-Atlas, MED-NODE, Dan Derm, Skin-EDRA | N/A (Review of 272 studies) | No (Imbalanced); 16% of studies had balanced/more malignant cases | N/A (Review) | N/A (Review) | N/A (Focus on Classification/Triage) | Both (Binary: Malignant vs Benign; Multi-class: Melanoma vs KC vs Benign; Triage) | Deep Learning (CNNs), SVM, ANN, Statistical models | Systematic Review | N/A (Review) | Sensitivity, Specificity, PPV, NPV, AUROC, Accuracy, F1-score | Melanoma Mean: Sn 84.2%, Sp 89.1%, ACC 89.5% | Yes (AI vs Clinicians) | Spectrum bias (specialist data used for primary care); Small datasets/overfitting; Lack of diversity (skin types); Poor reporting quality; Lack of prospective real-world validation | Validate in prospective real-world primary care settings; Use proposed checklist for reporting; Focus on triage tasks; Improve dataset diversity; Conduct health economic analysis | 10
Artificial intelligence in cancer diagnosis and therapy: Current status and future perspective  | 2023  | ISIC 2017, HAM10000, MClass-D, Clinical Images (Esteva)  | 129,450 (Esteva); 100 (MClass-D)  | N/A (Review) | Gaussian filtering, K-means clustering, PCA  | N/A (Not reported for skin) | Lesion Boundary  | Both (Binary: Mel vs Nevi, KC vs BSK; Multi-class: 5 classes)  | ResNet50, SkinNet-16, Deep CNNs, DBN  | Review of existing models (SkinNet-16, DUNEScan)  | Yes (implied for ResNet50)  | Sensitivity, Specificity, Accuracy, AUC  | ACC: 99.19% (SkinNet-16 on ISIC); Sn: 69.2%, Sp: 84.2% (ResNet50)  | Yes (vs Dermatologists)  | Lesion variability (size, borders), skin tone diversity, illumination issues, overfitting, privacy concerns, lack of standardized data  | Standardize training sets; adopt unsupervised learning; real-time clinical application; collaboration  | 7
Artificial Intelligence in Dermatology: Challenges and Perspectives  | 2022  | ISIC (Review)  | N/A (Commentary) | N/A (Commentary) | Image segmentation, Resizing (in DICOM context)  | N/A (Review) | Lesion Boundary  | Both (Melanoma, NMSC, Benign)  | CNN, Deep Learning, CCNN  | Commentary/Perspective  | No | Sensitivity, Specificity  | N/A (Review) | Yes (Clinicians)  | Lack of generalizability; confounding factors (rulers, markers, image quality); dataset bias (lack of skin tone diversity); "black box" interpretability; consumer trust  | Real-life clinical trials; human-machine collaboration; precision prevention; teledermatology; use of DICOM standards; inclusion of metadata (age, skin type)  | 7
Artificial Intelligence in Dermatology Image Analysis: Current Developments and Future Trends | 2022 | ISIC (2016-2021), HAM10000, BCN20000, PH2, XiangyaDerm-Pso9, MED-NODE, 7-point | Varies (Review of 143 studies; e.g., ISIC >80,000; HAM10000: 10,015) | No (Mentions small sample sizes and inadequate annotation as challenges) | Segmentation, ROI extraction, 3D imaging reconstruction | Transfer Learning, GANs (for image synthesis and augmentation) | Morphological (Asymmetry, Border, Color, Diameter), Texture, Wrinkles, Pores, Vascularity | Multi-class (Melanoma, BCC, SCC, Nevi), Inflammatory (Psoriasis, Eczema, Acne, Vitiligo), Aesthetic | CNN (GoogleNet, Inception-V3/V4, ResNet, DenseNet), GANs, ANN; Commercial systems (Vectra, VISIA, FotoFinder, Antera 3D) | Review of existing models and commercial systems | Yes [ImageNet implied] | Accuracy, Sensitivity, Specificity, F1-score, Jaccard Index | Varies (e.g., Moleanalyzer Pro: Sensitivity ~95%); generally comparable or superior to dermatologists | Yes (AI vs. Dermatologists) | Small/inadequate datasets; lack of standardization; "black box" interpretability; rare diseases; ethical/legal/security concerns; disjunction between AI and clinical needs | Integration with 5G and IoT (Cloud healthcare); Robotic surgery assistance; Transmedia intelligent medical equipment; AI consultation; 3D total-body photography | 10
